token,name,buy_utc,on_curve,graduated,copier_max_x,max_1h_x,min_1h_x,close_6h_x,hit_2x_min,hit_3x_min,hit_5x_min,his_realized_x,his_hold_min,his_sells,sold_frac
0xfb1bcb6817f7b8fa86896d3253b16aeb7bd6a5a8,worth,08-29 16:12,False,True,1.76,1.65,1.0,1.31,,,,1.11,10.7,2,1.1
0x301bd6ccc38c283f4c0e3c43bc2dbc1abea1a1ca,FINANCE,08-30 13:01,False,True,2.2,1.65,0.71,1.13,202.0,,,0.69,644.6,1,1.0
0x6d95972bcb454a87fe179f33c226473d8d56d9af,0x6d9597,08-30 15:46,True,False,2.86,2.86,0.94,0.52,37.2,,,0.94,168.4,1,1.0
0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,08-30 16:48,False,True,1.0,1.0,0.99,0.98,,,,0.97,7763.1,1,0.26
0x2f36ba966bf29f702bb290245406a5b0e3e1a66e,SWOLE,08-30 18:05,False,True,1.49,1.35,0.85,0.84,,,,1.23,197.3,1,1.0
0x34c21f10ea7ec052ed878d157f40fb4160730b24,housecoin,08-30 20:01,False,True,1.02,1.02,0.47,0.26,,,,,,0,0.0
0xb608bdc7287874d0fda5c9a88b08c25da513dc39,0xb608bd,08-30 20:12,True,False,1.81,1.81,0.79,0.77,,,,0.84,0.9,1,1.0
0x2cabad8bdcd08ad08d96dbcd9da46930c79a5ab2,0x2cabad,08-30 22:11,True,False,1.86,1.3,1.0,0.9,,,,0.84,1580.8,1,1.0
0xbeb20b5c41f1c7e1242da0de941a4e707a180769,LENNY,08-30 23:09,True,True,4.8,4.8,0.17,0.45,26.4,27.4,,2.98,36.0,2,0.54
0x5b3cbaf058bd0d2bb1680b4e51be1d621b2b8e34,BUDDY,08-31 00:17,False,True,80.9,6.95,0.94,11.87,13.8,16.8,21.8,69.42,916.1,1,0.51
0xd2a577e92438fd0c1f2485f4fb91b9f866eb1e6c,PEPONS,08-31 17:45,False,True,1.0,1.0,0.76,0.78,,,,,,0,0.0
0xe766b582fb90511c923bb28f1c9574170bcb2ac4,RETAIL,09-02 09:41,False,True,3.15,2.68,0.99,0.35,17.4,65.4,,,,0,0.0
0xea265ed8233032c3ffdf1d906cc3513e9d6a948d,Brainrot,09-04 00:14,True,True,18.34,18.34,0.96,0.51,0.5,7.7,17.1,7.29,26.1,5,1.0
0xf0c4bf4c582cb3836e98394b1d4e7b7281101be8,RBLX,09-04 00:34,False,True,1.04,1.01,0.99,1.0,,,,,,0,0.0
0xbac1fac924c18f6d11e7025ef4babfe3e191cdfb,WOJAK,09-04 02:10,True,True,9.78,8.28,0.21,5.18,17.7,21.7,49.7,0.75,2.1,1,1.0
0x6f2eaa398b4212ee5435072e6b3e8a17c5da991a,0x6f2eaa,09-04 02:12,True,False,4.42,4.42,1.0,4.42,2.8,7.6,,4.42,967.4,2,1.0
0xccf748f5190de4c1337f53b273fd10d802fb7295,0xccf748,09-04 02:41,True,False,3.83,3.83,0.49,0.4,0.2,0.6,,2.4,12.3,3,1.0
0x3326ba555508e3d8cce188e1abadb5a65ec89713,n00b,09-04 02:48,True,True,6.03,6.03,0.34,0.3,4.2,6.5,8.1,3.08,15.6,3,1.0
0x443402efb13a2cbc9ab0366cab6be6462c9d72b0,0x443402,09-04 03:01,True,False,2.04,2.04,0.8,0.81,0.3,,,0.83,1.7,1,1.0
0xd818e474ed1f1dca6996988d0e476f549ccb1988,0xd818e4,09-04 03:15,True,False,5.98,5.98,0.62,0.63,0.2,3.9,6.8,0.84,944.1,2,1.0
0x96f9ea2be7c099ca5af9e363583a42774b915fb9,FEETCOIN,09-04 03:28,True,True,2.26,2.24,1.0,2.24,19.4,,,2.22,892.5,5,1.0
0x7db66cd68179381c24cca63401979a3f08a309e1,0x7db66c,09-04 03:52,True,False,1.1,1.1,0.75,0.75,,,,0.77,2.2,1,1.0
0xa982500174c88aaf8a1fbfd1b82274a18dcca547,0xa98250,09-04 03:55,True,False,2.7,2.7,0.77,0.77,2.8,,,1.73,12.0,2,1.0
0x1c8dd8e46e9102465d9c2ecfa22d94be8b064ab4,Chadnev,09-04 04:34,True,True,4.96,4.96,0.25,0.29,0.4,0.9,,1.71,0.4,1,1.0
0x70d4ea50f40649b4210867c53d14cd326b31bade,0x70d4ea,09-04 04:37,True,False,3.16,3.16,0.68,0.61,0.3,1.4,,1.04,3.2,1,1.0
0x040621ae11dda3dc1722013f6729d681dceae8da,0x040621,09-04 04:44,True,False,1.4,1.4,0.66,0.64,,,,1.03,0.5,1,1.0
0x5e72c0e618f6af64f89206a5cee6465e8679412e,0x5e72c0,09-04 04:46,True,False,1.99,1.99,0.4,0.41,,,,0.47,1.2,1,1.0
0xc0f055c079f03395f5aeea2f64e7e87ebe4f6d68,0xc0f055,09-04 04:48,True,False,1.29,1.29,0.66,0.66,,,,0.89,1.1,1,1.0
0x26161d4988cac76d53e58f1afd188b9dec506e69,0x26161d,09-04 04:51,True,False,1.07,1.07,0.49,0.49,,,,0.72,0.2,1,1.0
0x9860dd1c8ea47596aad8625d2d2da5ae888d312e,0x9860dd,09-04 04:53,True,False,1.37,1.37,0.73,0.72,,,,0.77,9.0,1,1.0
0xe1bb3fa0fcc859e57ab6d760310cb81e03b4d80f,0xe1bb3f,09-04 04:57,True,False,1.09,1.09,0.54,0.6,,,,0.76,1.7,1,1.0
0xa80d70a32c116d4e7be26d871148482028415f97,0xa80d70,09-04 05:06,True,False,2.3,2.3,0.63,0.63,0.7,,,0.79,1.3,1,1.0
0x0f44e420a0af83251b6f2a36d1780e82b71d7e73,LENNY,09-04 14:20,False,True,1.38,1.0,0.97,1.13,,,,,,0,0.0
0xa24086895fd8f72db60e51e6f131a3f60cc4a06a,STOCK,09-04 14:30,False,True,1.01,1.01,1.0,1.01,,,,,,0,0.0
0x117cc2133c37b721f49de2a7a74833232b3b4c0c,SPY,09-04 14:48,False,True,1.0,1.0,0.99,1.0,,,,,,0,0.0
0x0b0c4ccd04bb6fd50448e3fd1798b33d609ab9f6,0x0b0c4c,09-04 15:00,True,False,1.04,1.04,0.68,0.6,,,,0.62,200.2,1,1.0
0xec262a75e413fafd0df80480274532c79d42da09,MSTR,09-04 16:05,False,True,1.02,1.01,0.99,1.0,,,,,,0,0.0
0xe08e08557d9e567568fdfbb1402b13af6eb50ce4,0xe08e08,09-04 17:57,True,False,3.37,3.24,1.0,0.81,2.1,53.5,,0.94,199.6,1,1.0
0x892593fa159cf59b4de762cb99b03daaa73bc0fe,TWEET,09-04 18:00,True,True,4.7,4.7,0.01,0.62,0.5,8.3,,1.03,13.2,2,1.0
0xc0950ccd98a3a85c1c08d721e689b74b7531e600,0xc0950c,09-04 18:11,True,False,1.78,1.78,0.82,0.8,,,,0.83,9.6,1,1.0
0xdd362e2714bee936dd8d9421e7b3382f6b1e244f,0xdd362e,09-04 18:14,True,False,2.31,2.31,0.77,0.77,0.1,,,0.97,1.2,1,1.0
0x4124277673e3ecaaf4aadc5c6169cf1d7812d647,PENNY,09-04 18:16,False,True,1.01,1.0,0.99,1.0,,,,1.0,42.8,4,1.0
0x0e2aab97ea92b8c552cbff46085c0067e93ba46c,0x0e2aab,09-04 18:18,True,False,1.17,1.17,0.56,0.56,,,,0.82,0.8,1,1.0
0x40bc247a11962b19f7359bb8a183ab397e174061,DOGE,09-04 18:21,True,True,9.82,1.34,0.81,0.58,252.5,254.1,256.8,0.85,1.6,1,1.0
0xc9ec05ed00de82629cdb1d6c3ea5d34f383a5396,MEME,09-04 18:27,False,True,16.11,1.44,0.89,4.12,106.6,223.6,427.6,,,0,0.0
0x21f41fd536b927ea7d4a83c6b61aac21ed462f4d,0x21f41f,09-04 18:42,True,False,2.12,2.12,0.51,0.5,0.1,,,0.7,0.8,1,1.0
0xe0b9f5d4857ad16ec3e5e3759c7462866b2d35f1,0xe0b9f5,09-04 18:56,True,False,1.45,1.45,0.72,0.72,,,,0.85,0.9,1,1.0
0x68caa371b399a40043ca1ff9920f7aaf6ff3a471,Haggle,09-04 18:57,True,True,2.22,2.22,0.5,2.0,3.9,,,0.77,1.2,1,1.0
